"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2009",,,,,,,
Date,NERC Region,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected 1,Restoration
,,,,,,,Date/Time
January  ,,,,,,,
1/5/2009,TRE,5:00 a.m.,North and Central Texas,Severe Storm,N/A,"157,019",6:00 p.m. January 06
1/7/2009,SERC,5:00 p.m.,Piedmont of North and South Carolina,High Winds,300,"70,000",8:05 p.m. January 07
1/8/2009,FRCC,11:46 p.m.,Florida Keys,Transmission Equipment Failure,55,"31,000",11:25 a.m. January 09
1/17/2009,RFC,8:00 a.m.,"PJM, Indiana",Fuel Supply Deficiency,N/A,N/A,8:00 a.m. January 25
1/22/2009,RFC,4:00 p.m.,"Crawfordsville, Indiana",Shed Load,50,"9,700",5:05 p.m. January 22
1/27/2009,RFC,5:00 a.m.,State of Kentucky,Ice Storm,N/A,"383,000",4:30 p.m. January 29
1/27/2009,SERC,5:03 a.m.,Central and Eastern Kentrucky,Ice Storm,600,"190,000",5:15 p.m. January 31
1/27/2009,SERC,7:10 a.m.,Western Kentucky and Southern Indiana,Ice Storm,350,3,7:30 p.m. February 04
1/27/2009,SERC,11:00 a.m.,South Central and Southeast Missouri,Winter Storm,200,"62,500",6:00 p.m. January 30
1/27/2009,SERC,1:46 p.m.,Northern Arkansas,Ice Storm,N/A,"111,818",5:00 p.m. February 03
1/27/2009,RFC,3:43 p.m.,CSWS-AEP West,Ice/Snow Storm,N/A,"59,402",9:00 a.m. January 29
1/27/2009,SERC,9:00 p.m.,Northern Arkansas,Ice Storm,600,"215,700",6:00 a.m. January 29
1/27/2009,SERC,9:45 p.m.,TVA Service Territory,Ice Storm,850,1,10:17 p.m. January 27
1/28/2009,RFC,12:10 a.m.,East Central Missouri,Winter Storm,300,1,9:20 p.m. January 30
1/28/2009,RFC,3:00 a.m.,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,N/A,"230,300",8:03 a.m. February 13
1/28/2009,RFC,4:00 a.m.,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Ice Storm,21,"3,500",5:00 p.m. February 07
1/28/2009,RFC,6:00 a.m.,"Indiana, Evansville, Metro Area",Ice Storm,506,"75,000",6:00 p.m. February 05
1/28/2009,RFC,7:50 a.m.,Southern Indiana,Ice/Snow Storm,N/A,"53,700",8:03 a.m. February 13
1/28/2009,SERC,9:00 a.m.,Northeast Tennessee and Southwest Kentucky,Ice Storm,N/A,"109,527",8:00 a.m. February 05
1/28/2009,RFC,10:00 a.m.,Northern Kentucky and Southwest Ohio,Ice/Snow Storm,N/A,"53,600",9:20 p.m. January 30
February ,,,,,,,
2/11/2009,TRE,2:30 a.m.,"Houston, Texas",High Winds,350,"64,801",12:00 p.m. February 11
2/11/2009,RFC,6:00 p.m.,"Kentucky, West Virginia and Ohio",Severe Thunderstorms,N/A,"279,813",5:00 p.m. February 13
2/11/2009,RFC,6:18 p.m.,"Maryland, Virginia, West Virginia and Pennsylvania",Severe Thunderstorms,N/A,"374,644",8:10 p.m. February 16
2/11/2009,RFC,7:00 p.m.,State of Kentucky,Severe Thunderstorms,N/A,"78,000",11:00 a.m. February 12
2/11/2009,RFC,9:00 p.m.,Northern Kentucky and Southwest Ohio,Severe Thunderstorms,350,"63,000",12:00 p.m. February 12
2/12/2009,RFC,2:30 a.m.,Central and Eastern Ohio,High Winds,168,"184,000",6:00 a.m. February 12
2/12/2009,RFC,8:00 a.m.,Western and North Eastern Pennsylvania,High Winds,130,"132,000",10:00 p.m. February 15
2/13/2009,RFC,2:30 a.m.,Central and Eastern Ohio,High Winds,168,"184,000",3:00 a.m. February 15
2/23/2009,NPCC,2:38 a.m.,Southern Central and Western Maine,Ice/Snow Storm,N/A,"131,000",1:46 p.m. February 24
March    ,,,,,,,
3/1/2009,WECC,12:15 a.m.,"City of El Paso, Texas, County of El Paso",Transmission Equipment Failure,250,"132,000",3:00 a.m. March 01
3/1/2009,SERC,4:00 p.m.,Southern Balancing Area,Severe Weather,75,"60,000",11:25 p.m. March 01
3/1/2009,SERC,8:54 p.m.,Duke Energy Carolinas Balance Authority,Ice/Snow Storm,"1,000","180,000",4:06 p.m. March 03
3/1/2009,SERC,10:00 p.m.,Central Virginia - Spotsylvania County,Winter Storm,210,"217,000",6:00 p.m. March 03
