Utility Characteristics,,,,IEEE Standard,,,,,,,,,Other Standard,,,,,,,,
Data Year,Utility Number,Utility Name,State,SAIDI With MED,SAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED,SAIFI Without MED,SAIFI With MED Minus LOS,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIDI Without MED,SAIFI With MED,SAIFI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2015,97,Adams Electric Coop,IL,575.500,167.100,374.700,2.834,1.645,1.351,"8,790",12.5,Y, , , , , ,,, ,
2015,108,Adams-Columbia Electric Coop,WI,121.380,67.170,114.050,0.773,0.595,0.713,"36,249",12.0,Y, , , , , ,,, ,
2015,155,Agralite Electric Coop,MN,131.500,131.500,124.185,1.464,1.464,1.056,"5,196",12.0,N, , , , , ,,, ,
2015,162,Aiken Electric Coop Inc,SC, , , , , , , , ,,181.830,130.520, , ,"46,325",N,L,25.0,N
2015,195,Alabama Power Co,AL, , , , , , , , ,,203.100,116.800,1.651,1.164,"1,454,676",N,F,35.0,Y
2015,207,City of Alameda,CA,16.400,16.400,16.400,0.114,0.114,0.114,"34,626",12.0,N, , , , , ,,, ,
2015,213,Alaska Electric Light&Power Co,AK, , , , , , , , ,,138.000, , , ,"16,539",N,O,12.5,N
2015,232,City of Albemarle - (NC),NC, , , , , , , , ,,72.710,34.390,1.040,1.040,"11,821",N,L,14.4,N
2015,240,Albemarle Electric Member Corp,NC, , , , , , , , ,,2.400,2.400,1.000,1.000,"12,644",N,F,12.5,N
2015,276,Alcorn County Elec Power Assn,MS, , , , , , , , ,,3.346, ,1.616, ,"18,589",Y,L,13.0,N
2015,295,City of Alexandria - (MN),MN, , , , , , , , ,,17.034, ,0.200, ,"9,468",N,L,13.2,N
2015,296,"Alfalfa Electric Coop, Inc",KS, , , , , , , , ,,485.975,27.960,0.599,0.216,978,N,O,14.4,Y
2015,296,"Alfalfa Electric Coop, Inc",OK, , , , , , , , ,,485.975,27.960,0.599,0.216,"7,690",N,O,14.4,Y
2015,305,Alger-Delta Coop Electric Assn,MI,108.400,107.400,49.000,1.090,1.080,0.500,"9,949",34.5,N, , , , , ,,, ,
2015,329,"Allamakee-Clayton El Coop, Inc",IA,123.648,40.165,123.648,0.884,0.343,0.884,"8,848",12.5,Y, , , , , ,,, ,
