Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,802.0","36,244","2,665","4,096.0","38,214",680,"6,573.0","121,334",2,0.0,0,0,"14,471.0","195,792","3,347"
2013,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"6,524.0","56,007","4,551","4,991.0","39,888","1,041","3,772.0","37,203",24,0.0,0,0,"15,287.0","133,098","5,616"
2013,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,254.7,"2,206",272,65.3,538,45,0.0,0,0,0.0,0,0,320.0,"2,744",317
2013,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"37,881.3","335,905","30,652","16,946.2","165,246","3,913","13,126.2","158,903",7,.,.,.,"67,953.7","660,054","34,572"
2013,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"15,905.0","115,109","8,400","4,852.0","50,296",202,.,.,.,.,.,.,"20,757.0","165,405","8,602"
2013,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"40,490.0","276,094","33,631","7,764.0","68,918","1,866","12,448.0","152,056",807,.,.,.,"60,702.0","497,068","36,304"
2013,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"31,269.0","320,341","40,437","18,753.0","213,537","9,699",0.0,0,0,0.0,0,0,"50,022.0","533,878","50,136"
2013,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,676.0","97,678","7,364","1,460.0","11,847",57,.,.,.,.,.,.,"15,136.0","109,525","7,421"
2013,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"3,857.0","72,023","3,596","2,027.0","43,140",575,"1,588.0","37,197",15,.,.,.,"7,472.0","152,360","4,186"
2013,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,476.0","25,835","1,956","4,209.0","30,360",520,"4,206.0","52,312",16,.,.,.,"11,891.0","108,507","2,492"
2013,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,WAUE,717.0,"6,776",528,623.0,"5,980",122,76.0,607,2,0.0,0,0,"1,416.0","13,363",652
2013,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"9,816.0","87,990","4,361","5,059.0","73,290",236,"5,836.0","71,592",515,.,.,.,"20,711.0","232,872","5,112"
2013,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"76,757.0","580,447","42,994","15,080.0","123,930","2,791","14,723.0","183,541",17,.,.,.,"106,560.0","887,918","45,802"
2013,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,445.3,"5,432",843,275.6,"4,930",183,93.8,"1,296",1,.,.,.,814.7,"11,658","1,027"
2013,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,078,503.0","17,919,762","1,241,998","1,504,598.0","14,102,879","196,954","1,369,011.0","22,903,925","5,851",.,.,.,"4,952,112.0","54,926,566","1,444,803"
2013,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"4,904.0","39,865","3,565","8,402.0","74,992",741,.,.,.,.,.,.,"13,306.0","114,857","4,306"
2013,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"18,781.4","135,924","30,260","31,922.8","227,520","4,145",.,.,.,.,.,.,"50,704.2","363,444","34,405"
2013,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"18,068.0","141,237","13,968","13,638.0","129,284","2,202","10,361.0","106,484",96,.,.,.,"42,067.0","377,005","16,266"
2013,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"7,509.0","24,475","4,867","10,982.0","40,728","2,175",0.0,0,0,0.0,0,0,"18,491.0","65,203","7,042"
2013,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"18,817.0","30,829","6,263","22,846.0","42,820","1,781",.,.,.,.,.,.,"41,663.0","73,649","8,044"
2013,230,Albany Water Gas & Light Comm,A,Bundled,O,GA,Municipal,SOCO,"37,584.5","370,108","31,473","54,660.8","581,708","5,619",.,.,.,.,.,.,"92,245.3","951,816","37,092"
2013,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"15,794.0","122,858","9,750","13,406.0","124,665","2,079","2,903.0","33,237",15,.,.,.,"32,103.0","280,760","11,844"
2013,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"22,827.0","174,953","11,521","3,959.0","35,490","1,108",591.0,"7,871",16,.,.,.,"27,377.0","218,314","12,645"
2013,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"10,903.0","116,906","7,682","17,279.0","176,736","2,352","16,025.0","247,608",12,0.0,0,0,"44,207.0","541,250","10,046"
2013,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,0.0,0,0,0.0,0,0,"188,891.0","4,589,475",1,0.0,0,0,"188,891.0","4,589,475",1
2013,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"23,195.0","221,864","14,648","19,354.0","171,070","4,201","12,857.0","233,435",5,0.0,0,0,"55,406.0","626,369","18,854"
2013,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,"5,023.0","54,438","4,677","3,416.0","25,723","1,409","3,863.0","56,548",69,.,.,.,"12,302.0","136,709","6,155"
2013,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,"7,085.4","75,953","7,699","3,445.5","38,279","1,623","12,165.7","176,096",199,.,.,.,"22,696.6","290,328","9,521"
2013,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,WFEC,399.0,"4,207",219,"1,040.0","9,094",711,744.0,"9,818",15,.,.,.,"2,183.0","23,119",945
2013,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,WFEC,"4,808.0","50,751","2,701","6,413.0","54,605","4,603","25,605.0","480,819",152,.,.,.,"36,826.0","586,175","7,456"
2013,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"12,948.0","298,732","21,089","15,677.0","367,804","3,494",137.0,"34,482",447,.,.,.,"28,762.0","701,018","25,030"
2013,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"9,861.3","47,975","9,458","2,037.3","13,094",553,"1,262.0","9,221",1,0.0,0,0,"13,160.6","70,290","10,012"
2013,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,419.0","11,467","1,653","1,498.1","13,319",351,"1,624.0","18,556",3,0.0,0,0,"4,541.1","43,342","2,007"
2013,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,144.0","57,127","5,772","4,432.0","33,816",610,.,.,.,.,.,.,"12,576.0","90,943","6,382"
2013,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,WAUE,"3,293.0","31,286","3,029","2,312.0","25,812",671,"2,912.0","55,983",14,.,.,.,"8,517.0","113,081","3,714"
2013,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"16,065.8","115,532","9,392","1,561.7","12,715",513,.,.,.,.,.,.,"17,627.5","128,247","9,905"
2013,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,NPPD,"4,227.0","42,766","4,148","4,430.0","45,176","1,034","2,393.0","32,790",13,.,.,.,"11,050.0","120,732","5,195"
2013,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"12,202.0","87,251","13,687","12,580.0","101,418","3,943","9,141.0","142,319",4,.,.,.,"33,923.0","330,988","17,634"
2013,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"29,804.7","226,875","17,975","9,274.0","79,393","1,827","4,967.0","68,851",163,0.0,0,0,"44,045.7","375,119","19,965"
