Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,.,.,.,.,.,.,557.0,"5,036",1,.,.,.,557.0,"5,036",1
2013,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,.,.,.,.,.,.,301.0,"2,741",1,.,.,.,301.0,"2,741",1
2013,58798,"AC Criminal Courts Complex SPE2, LLC",58661,sPower,NJ,PJM,.,.,.,818.0,"1,947",1,.,.,.,.,.,.,818.0,"1,947",1
2013,57554,AFA Solar Farm,56892,Solar Star Colorado II LLC,CO,WACM,.,.,.,332.0,"11,207",1,.,.,.,.,.,.,332.0,"11,207",1
2013,55309,Air Products Port Arthur,56304,Air Products LLC,TX,MISO,.,.,.,.,.,.,"13,497.0","793,498",.,.,.,.,"13,497.0","793,498",0
2013,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,.,.,.,585.0,"9,062",1,.,.,.,.,.,.,585.0,"9,062",1
2013,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,"5,701.0","154,092",1,0.0,0,0,0.0,0,0,"5,701.0","154,092",1
2013,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,.,.,.,357.0,"2,850",1,.,.,.,.,.,.,357.0,"2,850",1
2013,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,.,.,.,231.0,"3,297",1,.,.,.,.,.,.,231.0,"3,297",1
2013,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"56,340.0","1,568,750",1,0.0,0,0,"56,340.0","1,568,750",1
2013,58403,Bellingham PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,.,.,.,69.0,737,1,.,.,.,.,.,.,69.0,737,1
2013,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",CO,,.,.,.,.,.,.,63.0,"2,054",1,.,.,.,63.0,"2,054",1
2013,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,.,.,.,.,.,.,342.0,"4,053",1,.,.,.,342.0,"4,053",1
2013,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,.,.,.,"4,239.0","18,731",1,.,.,.,.,.,.,"4,239.0","18,731",1
2013,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,.,.,.,"1,381.0","7,263",1,.,.,.,.,.,.,"1,381.0","7,263",1
2013,58618,Butler Plaza,58570,CF Gainesville Owner One LLC,FL,GVL,.,.,.,697.0,"2,177",1,.,.,.,.,.,.,697.0,"2,177",1
2013,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,.,.,.,.,.,.,4.0,72,1,.,.,.,4.0,72,1
2013,59248,CCMUA,59063,"Camden Solar Center, LLC",NJ,PJM,.,.,.,.,.,.,113.0,"2,333",1,.,.,.,113.0,"2,333",1
2013,10631,CE Leathers,49899,CalEnergy Operating Corporation,CA,IID,.,.,.,"19,749.0","310,477",1,.,.,.,.,.,.,"19,749.0","310,477",1
2013,55984,CE Turbo LLC,49899,CalEnergy Operating Corporation,AZ,,.,.,.,"3,266.0","54,868",1,.,.,.,.,.,.,"3,266.0","54,868",1
2013,58365,CJTS Energy Center,58300,Ameresco Select Inc,CT,ISNE,.,.,.,"2,833.0","3,422",1,.,.,.,.,.,.,"2,833.0","3,422",1
2013,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,.,.,.,277.0,"1,564",1,.,.,.,.,.,.,277.0,"1,564",1
2013,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,.,.,.,257.0,"1,949",1,.,.,.,.,.,.,257.0,"1,949",1
2013,58971,California Dairy Energy I LLC,58834,CH4 Power Inc,CA,CISO,.,.,.,833.0,"8,738",1,.,.,.,.,.,.,833.0,"8,738",1
2013,57460,Caltech Central,56778,Bloom Energy 2009 PPA,CA,CISO,.,.,.,"4,757.0",1,.,.,.,.,.,.,.,"4,757.0",1,0
2013,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,.,.,.,"2,055.0","75,912",1,.,.,.,.,.,.,"2,055.0","75,912",1
2013,10168,Cardinal Cogen,3030,Cardinal Cogen Inc,CA,CISO,.,.,.,"16,773.0","268,217",1,.,.,.,.,.,.,"16,773.0","268,217",1
2013,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0.0,0,0,821.0,"9,100",12,361.0,"3,981",24,.,.,.,"1,182.0","13,081",36
2013,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,.,.,.,.,.,.,"15,333.0","132,288",1,.,.,.,"15,333.0","132,288",1
2013,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,.,.,.,.,.,.,"87,903.0","2,566,680",1,.,.,.,"87,903.0","2,566,680",1
2013,57011,Chuckawalla Valley State Prison,56302,SunE CPA CDC1 LLC,CA,CISO,.,.,.,207.0,"2,062",1,.,.,.,.,.,.,207.0,"2,062",1
2013,57645,City & County of Denver at Denver Int'l,56974,"Denver Airport Solar, LLC",CO,PSCO,.,.,.,.,.,.,658.0,"5,853",1,.,.,.,658.0,"5,853",1
2013,57681,City of Boulder WWTP,57005,"SunE NLB-2, LLC",CO,PSCO,.,.,.,.,.,.,51.0,"1,484",1,.,.,.,51.0,"1,484",1
2013,57682,City of Madera WWTP,57006,"SunE GIL1, LLC",CA,CISO,.,.,.,.,.,.,312.0,"2,535",1,.,.,.,312.0,"2,535",1
2013,10741,Clear Lake Cogeneration Ltd,3775,Clear Lake Cogeneration LP,TX,ERCO,.,.,.,.,.,.,"13,567.0","250,534",2,.,.,.,"13,567.0","250,534",2
2013,10635,Corona Cogen,56466,Juniper Generation  LLC,CA,CISO,.,.,.,.,.,.,"1,597.0","1,319",1,.,.,.,"1,597.0","1,319",1
