Utility Charateristics,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2012,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,"3,664.0","35,102","2,690","3,755.0","34,205",687,"7,566.0","123,187",3,0.0,0,0,"14,985.0","192,494","3,380"
2012,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,"5,677.0","54,580","4,569","4,534.0","40,342","1,040","3,317.0","37,399",24,0.0,0,0,"13,528.0","132,321","5,633"
2012,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,251.2,"2,069",276,69.6,548,45,0.0,0,0,0.0,0,0,320.8,"2,617",321
2012,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,"37,854.3","320,164","30,659","17,279.2","158,668","3,926","14,661.4","168,368",5,0.0,0,0,"69,794.9","647,200","34,590"
2012,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,"14,937.0","105,841","8,375","4,938.0","53,264",196,.,.,.,.,.,.,"19,875.0","159,105","8,571"
2012,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,"39,266.0","266,039","33,558","6,969.0","60,646","1,825","12,645.0","164,325",750,.,.,.,"58,880.0","491,010","36,133"
2012,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,"25,459.0","322,629","41,209","17,508.0","253,045","12,043",0.0,0,0,0.0,0,0,"42,967.0","575,674","53,252"
2012,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,"12,972.0","93,465","7,403","1,431.0","11,703",55,.,.,.,.,.,.,"14,403.0","105,168","7,458"
2012,122,Village of Arcade,A,Bundled,O,NY,Municipal,"3,286.0","66,197","3,581","1,922.0","44,250",569,"1,454.0","36,334",16,.,.,.,"6,662.0","146,781","4,166"
2012,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,"3,137.0","25,536","1,975","3,761.0","30,829",506,"4,157.0","53,467",16,.,.,.,"11,055.0","109,832","2,497"
2012,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,686.0,"6,521",532,613.0,"6,024",111,65.0,462,2,0.0,0,0,"1,364.0","13,007",645
2012,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,"9,009.0","77,702","4,370","4,656.0","66,418",235,"5,549.0","69,369",484,.,.,.,"19,214.0","213,489","5,089"
2012,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,"76,641.0","575,042","42,918","13,947.0","126,363","2,778","12,660.0","171,965",16,.,.,.,"103,248.0","873,370","45,712"
2012,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,475.0,"5,299",823,373.0,"5,176",180,110.0,"1,314",1,0.0,0,0,958.0,"11,789","1,004"
2012,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,"2,068,491.0","17,612,420","1,237,730","1,518,741.0","14,176,624","196,919","1,345,850.0","22,157,722","5,839",0.0,0,0,"4,933,082.0","53,946,766","1,440,488"
2012,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,"4,825.0","39,213","3,517","8,507.0","75,834",729,.,.,.,.,.,.,"13,332.0","115,047","4,246"
2012,207,City of Alameda,A,Bundled,O,CA,Municipal,"18,488.1","139,665","30,194","31,889.2","234,122","4,144",.,.,.,.,.,.,"50,377.3","373,787","34,338"
2012,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,"16,970.0","142,255","13,912","12,857.0","129,783","2,174","11,993.0","127,106",94,.,.,.,"41,820.0","399,144","16,180"
2012,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,"7,470.0","24,391","4,803","10,705.0","40,397","2,173",0.0,0,0,0.0,0,0,"18,175.0","64,788","6,976"
2012,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,"19,275.0","31,085","6,148","23,433.0","42,871","1,775",.,.,.,.,.,.,"42,708.0","73,956","7,923"
2012,230,Albany Water Gas & Light Comm,A,Bundled,O,GA,Municipal,"38,897.0","379,127","31,727","51,293.0","599,422","5,625",.,.,.,.,.,.,"90,190.0","978,549","37,352"
2012,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,"15,047.0","121,705","9,723","13,052.0","137,773","2,083","2,813.0","34,887",15,.,.,.,"30,912.0","294,365","11,821"
2012,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,"21,270.0","168,200","11,555","3,639.0","33,211","1,060",661.0,"8,914",6,.,.,.,"25,570.0","210,325","12,621"
2012,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,"10,792.0","113,952","7,763","12,310.0","122,974","2,267","21,775.0","293,204",18,0.0,0,0,"44,877.0","530,130","10,048"
2012,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,0.0,0,0,0.0,0,0,"181,113.0","4,610,096",1,0.0,0,0,"181,113.0","4,610,096",1
2012,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,"22,711.0","214,862","14,574","17,839.0","155,124","4,248","17,189.0","255,267",10,0.0,0,0,"57,739.0","625,253","18,832"
2012,289,City of Alexander City,A,Bundled,O,AL,Municipal,"5,636.0","53,503","4,715","3,305.0","30,369","1,345","4,748.0","51,765",68,.,.,.,"13,689.0","135,637","6,128"
2012,295,City of Alexandria- (MN),A,Bundled,O,MN,Municipal,"6,614.6","72,278","7,641","3,344.2","38,275","1,631","12,178.0","176,144",196,.,.,.,"22,136.8","286,697","9,468"
2012,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,363.0,"3,990",217,"1,003.0","9,666",691,389.0,"5,627",10,.,.,.,"1,755.0","19,283",918
2012,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,"4,331.0","47,650","2,665","5,687.0","53,444","4,554","16,547.0","298,524",134,.,.,.,"26,565.0","399,618","7,353"
2012,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,"12,437.0","286,538","20,470","15,917.0","375,399","3,479",908.0,"34,088",445,.,.,.,"29,262.0","696,025","24,394"
2012,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,"9,757.0","45,744","9,442","2,921.8","18,738",557,0.0,0,0,0.0,0,0,"12,678.8","64,482","9,999"
2012,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,"1,416.2","11,299","1,650","1,964.8","18,142",356,"1,226.9","12,842",2,0.0,0,0,"4,607.9","42,283","2,008"
2012,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,"7,747.0","59,079","5,647","4,266.0","33,733",672,.,.,.,.,.,.,"12,013.0","92,812","6,319"
2012,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,"2,959.0","31,257","3,036","2,039.0","24,708",655,"2,859.0","54,766",14,.,.,.,"7,857.0","110,731","3,705"
2012,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,"15,466.0","108,846","9,359","1,463.0","11,587",513,.,.,.,.,.,.,"16,929.0","120,433","9,872"
2012,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,"3,598.0","40,738","4,150","4,095.0","52,440","1,045","2,163.0","30,417",12,0.0,0,0,"9,856.0","123,595","5,207"
2012,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,"12,094.0","87,480","13,681","12,582.0","102,293","3,935","9,316.0","148,287",4,0.0,0,0,"33,992.0","338,060","17,620"
2012,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,"30,154.0","225,255","17,954","4,972.0","30,871","1,809","9,180.0","112,358",147,0.0,0,0,"44,306.0","368,484","19,910"
2012,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,"12,380.6","105,484","8,355","7,764.5","81,275","1,252","2,649.7","37,726",6,.,.,.,"22,794.8","224,485","9,613"
2012,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,902.0,"7,309",713,999.0,"9,205",180,"5,475.0","68,470",1,0.0,0,0,"7,376.0","84,984",894
2012,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,.,.,.,.,.,.,"21,718.0","852,781",3,.,.,.,"21,718.0","852,781",3
2012,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,.,.,.,.,.,.,"23,076.0","527,721",6,.,.,.,"23,076.0","527,721",6
2012,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,"18,070.9","159,011","21,908","25,023.9","295,106","2,819","11,919.0","156,694",8,.,.,.,"55,013.8","610,811","24,735"
2012,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,"5,324.0","55,809","5,272","1,549.0","13,870",510,"3,376.0","35,934",70,.,.,.,"10,249.0","105,613","5,852"
2012,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,"63,497.0","556,345","41,509","12,478.0","104,163","4,220",.,.,.,.,.,.,"75,975.0","660,508","45,729"
2012,571,City of Amory,A,Bundled,O,MS,Municipal,"3,958.0","39,119","2,983","5,616.0","51,609","1,053","4,265.0","52,253",4,0.0,0,0,"13,839.0","142,981","4,040"
2012,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,"35,293.0","350,474","23,572","18,646.0","177,666","4,066","4,716.0","54,342",11,0.0,0,0,"58,655.0","582,482","27,649"
2012,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,"91,768.0","604,605","98,185","111,826.0","718,527","16,631","142,261.0","1,114,157",432,.,.,.,"345,855.0","2,437,289","115,248"
2012,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,"17,221.2","146,789","24,443","83,738.0","953,876","6,304",.,.,.,.,.,.,"100,959.2","1,100,665","30,747"
2012,604,City of Andalusia,A,Bundled,O,AL,Municipal,"5,297.0","43,135","3,669","7,621.0","61,825",997,"16,643.0","285,330",5,.,.,.,"29,561.0","390,290","4,671"
2012,636,City of Anderson,A,Bundled,O,IN,Municipal,"32,458.0","314,577","32,542","30,056.0","318,799","3,806","13,595.0","212,230",69,.,.,.,"76,109.0","845,606","36,417"
2012,689,Connexus Energy,A,Bundled,O,MN,Cooperative,"144,133.6","1,170,688","115,240","63,458.2","675,700","11,276","11,776.0","135,999",397,0.0,0,0,"219,367.8","1,982,387","126,913"
2012,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,"3,418.0","43,671","3,335","3,356.0","49,254","1,055","4,162.0","94,818",14,.,.,.,"10,936.0","187,743","4,404"
